127.0.0.1 - - [30/Apr/2023:00:52:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:59 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:59 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:59 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:59 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:59 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:59 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:53:59 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:08 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:08 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:08 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:09 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:09 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:09 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:09 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:09 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:09 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:09 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:09 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:09 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:09 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:09 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:09 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:10 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:10 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:10 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:10 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:10 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:10 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:10 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:10 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:10 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:10 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:10 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:10 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:38 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:38 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:38 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:00:54:46 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:15:22 +0530] "GET /ZeroToOne/register_page.jsp HTTP/1.1" 200 4633
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:15:22 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:15:22 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:15:29 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:15:29 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:15:29 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:15:31 +0530] "GET /ZeroToOne/login_page.jsp HTTP/1.1" 200 3934
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:15:31 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:15:31 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:15:33 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6040
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:15:33 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:15:33 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:38 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:38 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:38 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:38 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:38 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:38 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:38 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:38 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:38 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:38 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:38 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:38 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:38 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:38 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:39 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:39 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:39 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:39 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:39 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:39 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:39 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:17:39 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:18:13 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:18:13 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:18:13 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:18:19 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:19 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:19 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:19 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:20 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:20 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:20 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:20 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:20 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:20 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:21 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:21 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:21 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:24 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:48 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:48 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:48 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:49 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:49 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:49 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:49 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:49 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:49 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:51 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:51 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:20:51 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:22:17 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:22:17 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:22:17 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:22:18 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:22:18 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:22:18 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:22:19 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:22:19 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:22:19 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:22:20 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:22:20 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:22:20 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:22:20 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:22:20 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:22:20 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:23:02 +0530] "GET /ZeroToOne/ HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:23:02 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:23:02 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:23:37 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:23:37 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:23:37 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:23:40 +0530] "GET /ZeroToOne/login_page.jsp HTTP/1.1" 200 3934
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:23:40 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:23:40 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:23:43 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6043
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:23:43 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:23:43 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:23:45 +0530] "GET /ZeroToOne/register_page.jsp HTTP/1.1" 200 4633
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:23:45 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:23:45 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:30 +0530] "GET /ZeroToOne/register_page.jsp HTTP/1.1" 200 4633
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:30 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:30 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:34 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6041
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:34 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:34 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:36 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6041
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:36 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:36 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:37 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6041
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:37 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:37 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:37 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6041
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:37 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:37 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:37 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6041
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:37 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:37 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:37 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6041
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:37 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:37 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:38 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6041
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:38 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:38 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:38 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6041
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:38 +0530] "GET /ZeroToOne/js/myjs.js HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:38 +0530] "GET /ZeroToOne/css/style.css HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Apr/2023:01:35:38 +0530] "GET /ZeroToOne/index.jsp HTTP/1.1" 200 6041
